TIME: 1698307424826.476807, VX: 0.000192, VY: 0.000085
TIME: 1698307424859.910889, VX: 0.000328, VY: 0.000136
TIME: 1698307424893.338867, VX: 0.000401, VY: 0.000157
TIME: 1698307424926.469727, VX: 0.000363, VY: 0.000284
TIME: 1698307424959.898926, VX: 0.000250, VY: 0.000298
TIME: 1698307424993.308838, VX: 0.000167, VY: 0.000306
TIME: 1698307425026.436768, VX: 0.000110, VY: 0.000333
TIME: 1698307425061.095947, VX: 0.000064, VY: 0.000328
TIME: 1698307425093.321777, VX: 0.000112, VY: 0.000212
TIME: 1698307425126.488770, VX: 0.000075, VY: 0.000140
TIME: 1698307425159.895752, VX: 0.000105, VY: 0.000099
TIME: 1698307425193.311768, VX: 0.000035, VY: 0.000064
TIME: 1698307425226.588867, VX: 0.000008, VY: 0.000036
TIME: 1698307425259.823730, VX: 0.000032, VY: 0.000036
TIME: 1698307425293.292725, VX: 0.000003, VY: 0.000025
TIME: 1698307425326.667725, VX: -0.000017, VY: 0.000020
TIME: 1698307425359.839844, VX: 0.000064, VY: 0.000036
TIME: 1698307425393.299805, VX: 0.000060, VY: -0.000002
TIME: 1698307425426.680908, VX: 0.000046, VY: -0.000040
TIME: 1698307425459.817871, VX: 0.000056, VY: -0.000048
TIME: 1698307425493.321777, VX: 0.000065, VY: -0.000022
TIME: 1698307425526.699951, VX: 0.000134, VY: 0.000033
TIME: 1698307425559.787842, VX: 0.000066, VY: 0.000043
TIME: 1698307425593.317871, VX: 0.000052, VY: 0.000142
TIME: 1698307425626.684814, VX: 0.000064, VY: 0.000197
TIME: 1698307425659.828857, VX: 0.000079, VY: 0.000167
TIME: 1698307425693.334717, VX: 0.000045, VY: 0.000092
TIME: 1698307425726.654785, VX: 0.000067, VY: 0.000004
TIME: 1698307425759.809814, VX: 0.000002, VY: -0.000075
TIME: 1698307425793.303955, VX: 0.000029, VY: -0.000058
TIME: 1698307425893.336914, VX: 0.000042, VY: -0.000014
TIME: 1698307425926.667725, VX: 0.000037, VY: -0.000009
TIME: 1698307425960.108887, VX: 0.000023, VY: 0.000002
TIME: 1698307425993.210938, VX: 0.000014, VY: -0.000011
TIME: 1698307426026.684814, VX: 0.000018, VY: 0.000030
TIME: 1698307426060.038818, VX: -0.000024, VY: 0.000013
TIME: 1698307426093.176758, VX: -0.000033, VY: -0.000016
TIME: 1698307426126.778809, VX: -0.000022, VY: -0.000004
TIME: 1698307426160.071777, VX: -0.000060, VY: 0.000011
TIME: 1698307426193.127930, VX: -0.000071, VY: 0.000041
TIME: 1698307426226.702881, VX: -0.000081, VY: 0.000043
TIME: 1698307426260.610840, VX: -0.000086, VY: 0.000006
TIME: 1698307426293.206787, VX: -0.000059, VY: 0.000004
TIME: 1698307426326.695801, VX: -0.000057, VY: 0.000005
TIME: 1698307426360.058838, VX: -0.000058, VY: -0.000006
TIME: 1698307426393.322754, VX: -0.000057, VY: -0.000064
TIME: 1698307426426.774902, VX: -0.000039, VY: -0.000035
TIME: 1698307426460.096924, VX: -0.000030, VY: 0.000012
TIME: 1698307426493.431885, VX: -0.000048, VY: -0.000022
TIME: 1698307426526.558838, VX: -0.000062, VY: -0.000031
TIME: 1698307426560.039795, VX: -0.000028, VY: 0.000000
TIME: 1698307426593.426758, VX: -0.000059, VY: 0.000002
TIME: 1698307426626.564941, VX: -0.000092, VY: -0.000041
TIME: 1698307426660.040771, VX: -0.000062, VY: -0.000031
TIME: 1698307426760.060791, VX: -0.000053, VY: 0.000022
TIME: 1698307426793.875732, VX: -0.000072, VY: 0.000094
TIME: 1698307426826.577881, VX: -0.000076, VY: 0.000099
TIME: 1698307426860.060791, VX: -0.000093, VY: 0.000098
TIME: 1698307426893.462891, VX: -0.000083, VY: 0.000080
TIME: 1698307426926.557861, VX: -0.000096, VY: 0.000069
TIME: 1698307426960.054932, VX: -0.000108, VY: 0.000030
TIME: 1698307426993.428955, VX: -0.000092, VY: 0.000035
TIME: 1698307427026.815918, VX: -0.000129, VY: 0.000038
TIME: 1698307427059.952881, VX: -0.000054, VY: 0.000051
TIME: 1698307427093.731934, VX: -0.000044, VY: 0.000038
TIME: 1698307427126.801758, VX: -0.000050, VY: 0.000018
TIME: 1698307427159.928955, VX: 0.000001, VY: 0.000057
TIME: 1698307427193.451904, VX: 0.000040, VY: 0.000003
TIME: 1698307427226.811768, VX: 0.000032, VY: -0.000047
TIME: 1698307427259.964844, VX: 0.000075, VY: -0.000009
TIME: 1698307427293.437744, VX: 0.000085, VY: 0.000002
TIME: 1698307427326.788818, VX: 0.000082, VY: 0.000024
TIME: 1698307427359.925781, VX: 0.000096, VY: -0.000007
TIME: 1698307427393.513916, VX: 0.000056, VY: -0.000042
TIME: 1698307427426.785889, VX: 0.000023, VY: -0.000047
TIME: 1698307427459.919922, VX: -0.000027, VY: -0.000018
TIME: 1698307427493.428955, VX: 0.000008, VY: -0.000006
TIME: 1698307427526.880859, VX: 0.000014, VY: -0.000017
TIME: 1698307427560.054932, VX: -0.000040, VY: -0.000020
TIME: 1698307427593.300781, VX: -0.000049, VY: -0.000001
TIME: 1698307427626.796875, VX: -0.000074, VY: 0.000045
TIME: 1698307427660.238770, VX: -0.000091, VY: 0.000045
TIME: 1698307427693.243896, VX: -0.000081, VY: 0.000033
TIME: 1698307427726.823730, VX: -0.000059, VY: 0.000051
TIME: 1698307427760.169922, VX: -0.000071, VY: 0.000051
TIME: 1698307427793.307861, VX: -0.000063, VY: 0.000052
TIME: 1698307427826.814941, VX: -0.000098, VY: 0.000033
TIME: 1698307427860.164795, VX: -0.000056, VY: -0.000025
TIME: 1698307427893.314941, VX: -0.000047, VY: -0.000041
TIME: 1698307427926.782959, VX: -0.000069, VY: -0.000001
TIME: 1698307427960.564941, VX: -0.000045, VY: -0.000018
TIME: 1698307427993.303955, VX: -0.000046, VY: -0.000010
TIME: 1698307428026.797852, VX: -0.000016, VY: 0.000063
TIME: 1698307428060.223877, VX: 0.000055, VY: 0.000058
TIME: 1698307428093.325928, VX: 0.000107, VY: 0.000048
TIME: 1698307428126.802734, VX: 0.000159, VY: -0.000006
TIME: 1698307428160.719727, VX: 0.000193, VY: -0.000040
TIME: 1698307428193.539795, VX: 0.000175, VY: -0.000070
TIME: 1698307428226.674805, VX: 0.000039, VY: -0.000020
TIME: 1698307428260.178955, VX: 0.000065, VY: 0.000052
TIME: 1698307428293.938721, VX: 0.000037, VY: 0.000275
TIME: 1698307428326.669922, VX: 0.000009, VY: 0.000397
TIME: 1698307428360.200928, VX: -0.000057, VY: 0.000178
TIME: 1698307428393.559814, VX: -0.000054, VY: 0.000027
TIME: 1698307428426.691895, VX: -0.000020, VY: -0.000146
TIME: 1698307428460.207764, VX: -0.000065, VY: -0.000116
TIME: 1698307428493.561768, VX: -0.000131, VY: -0.000067
TIME: 1698307428526.895752, VX: -0.000112, VY: -0.000091
TIME: 1698307428560.207764, VX: -0.000141, VY: -0.000142
TIME: 1698307428593.595947, VX: -0.000140, VY: -0.000163
TIME: 1698307428626.795898, VX: 0.000020, VY: -0.000141
TIME: 1698307428661.284912, VX: 0.000046, VY: -0.000242
TIME: 1698307428693.477783, VX: 0.000002, VY: -0.000124
TIME: 1698307428726.864746, VX: 0.000088, VY: 0.000178
TIME: 1698307428760.019775, VX: 0.000063, VY: 0.000034
TIME: 1698307428860.150879, VX: 0.000292, VY: 0.000280
TIME: 1698307428893.938721, VX: 0.000210, VY: 0.000173
TIME: 1698307428926.992920, VX: 0.000043, VY: 0.000267
TIME: 1698307428960.015869, VX: -0.000038, VY: 0.000212
TIME: 1698307428993.727783, VX: 0.000045, VY: 0.000056
TIME: 1698307429026.947754, VX: 0.000014, VY: 0.000036
TIME: 1698307429060.049805, VX: -0.000035, VY: 0.000039
TIME: 1698307429093.585938, VX: -0.000038, VY: -0.000076
TIME: 1698307429126.919922, VX: 0.000010, VY: -0.000022
TIME: 1698307429160.052734, VX: -0.000029, VY: 0.000019
TIME: 1698307429193.536865, VX: -0.000036, VY: 0.000029
TIME: 1698307429227.721924, VX: -0.000011, VY: 0.000027
TIME: 1698307429260.186768, VX: -0.000017, VY: -0.000042
TIME: 1698307429293.430908, VX: -0.000010, VY: -0.000012
TIME: 1698307429327.817871, VX: 0.000033, VY: 0.000037
TIME: 1698307429360.337891, VX: -0.000000, VY: 0.000009
TIME: 1698307429393.406738, VX: 0.000005, VY: -0.000025
TIME: 1698307429426.923828, VX: 0.000023, VY: 0.000007
TIME: 1698307429460.345947, VX: 0.000005, VY: 0.000042
TIME: 1698307429493.382812, VX: -0.000001, VY: -0.000062
TIME: 1698307429526.902832, VX: -0.000162, VY: -0.000178
TIME: 1698307429560.321777, VX: -0.000147, VY: -0.000016
TIME: 1698307429593.417725, VX: -0.000129, VY: -0.000066
TIME: 1698307429626.942871, VX: -0.000117, VY: -0.000037
TIME: 1698307429660.278809, VX: -0.000073, VY: 0.000035
TIME: 1698307429693.471924, VX: -0.000060, VY: 0.000104
TIME: 1698307429728.227783, VX: -0.000057, VY: 0.000086
TIME: 1698307429760.264893, VX: -0.000058, VY: -0.000002
TIME: 1698307429793.411865, VX: -0.000055, VY: -0.000026
TIME: 1698307429826.966797, VX: -0.000060, VY: -0.000068
TIME: 1698307429860.324951, VX: -0.000057, VY: -0.000038
TIME: 1698307429893.540771, VX: 0.000031, VY: -0.000058
TIME: 1698307429926.842773, VX: 0.000044, VY: -0.000079
TIME: 1698307429961.337891, VX: 0.000030, VY: -0.000034
TIME: 1698307429994.934814, VX: 0.000054, VY: -0.000037
TIME: 1698307430026.819824, VX: 0.000047, VY: -0.000008
TIME: 1698307430060.279785, VX: -0.000018, VY: 0.000005
TIME: 1698307430093.987793, VX: -0.000027, VY: 0.000013
TIME: 1698307430126.797852, VX: -0.000043, VY: -0.000006
TIME: 1698307430160.292725, VX: -0.000106, VY: -0.000002
TIME: 1698307430193.659912, VX: -0.000129, VY: 0.000040
TIME: 1698307430226.812744, VX: -0.000143, VY: 0.000090
TIME: 1698307430260.305908, VX: -0.000124, VY: 0.000097
TIME: 1698307430293.674805, VX: -0.000115, VY: 0.000055
TIME: 1698307430326.787842, VX: -0.000081, VY: 0.000038
TIME: 1698307430360.381836, VX: 0.000007, VY: 0.000032
TIME: 1698307430393.628906, VX: 0.000037, VY: 0.000004
TIME: 1698307430426.909912, VX: -0.000027, VY: -0.000003
TIME: 1698307430460.216797, VX: -0.000104, VY: -0.000014
TIME: 1698307430493.923828, VX: -0.000041, VY: -0.000010
TIME: 1698307430527.002930, VX: 0.000091, VY: -0.000078
TIME: 1698307430560.172852, VX: 0.000139, VY: -0.000108
TIME: 1698307430593.701904, VX: 0.000203, VY: -0.000214
